time (s),w,x-axis,y-axis,z-axis,class
1661434228988.699,0.426,-0.147,-0.893,-0.025,0
1661434228990.684,0.445,-0.148,-0.882,-0.03,0
1661434229011.071,0.471,-0.15,-0.869,-0.037,0
1661434229018.439,0.5,-0.152,-0.851,-0.045,0
1661434229025.678,0.533,-0.154,-0.83,-0.055,0
1661434229033.616,0.567,-0.156,-0.806,-0.066,0
1661434229034.362,0.601,-0.157,-0.78,-0.077,0
1661434229048.341,0.635,-0.158,-0.751,-0.089,0
1661434229049.729,0.667,-0.158,-0.721,-0.1,0
1661434229071.302,0.699,-0.157,-0.689,-0.111,0
1661434229071.7102,0.729,-0.156,-0.655,-0.123,0
1661434229086.3188,0.758,-0.153,-0.62,-0.135,0
1661434229093.458,0.785,-0.151,-0.583,-0.147,0
1661434229116.55,0.81,-0.148,-0.545,-0.159,0
1661434229116.55,0.832,-0.145,-0.508,-0.17,0
1661434229123.532,0.851,-0.142,-0.472,-0.181,0
1661434229131.51,0.868,-0.139,-0.437,-0.19,0
1661434229153.831,0.883,-0.135,-0.404,-0.199,0
1661434229154.479,0.896,-0.13,-0.371,-0.207,0
1661434229161.11,0.908,-0.125,-0.337,-0.215,0
1661434229175.2551,0.919,-0.119,-0.301,-0.223,0
1661434229183.733,0.93,-0.111,-0.263,-0.231,0
1661434229191.136,0.94,-0.103,-0.22,-0.239,0
1661434229213.0762,0.949,-0.093,-0.173,-0.247,0
1661434229214.073,0.955,-0.084,-0.123,-0.257,0
1661434229235.967,0.958,-0.076,-0.072,-0.266,0
1661434229243.803,0.959,-0.069,-0.022,-0.275,0
1661434229244.922,0.957,-0.064,0.024,-0.283,0
1661434229250.883,0.953,-0.06,0.063,-0.289,0
1661434229266.0798,0.95,-0.056,0.094,-0.293,0
1661434229281.141,0.946,-0.053,0.12,-0.297,0
1661434229288.299,0.943,-0.05,0.141,-0.299,0
1661434229318.038,0.939,-0.048,0.158,-0.3,0
1661434229319.6,0.936,-0.046,0.174,-0.301,0
1661434229320.597,0.933,-0.045,0.188,-0.302,0
1661434229325.613,0.93,-0.043,0.202,-0.303,0
1661434229333.8162,0.927,-0.042,0.214,-0.304,0
1661434229341.024,0.924,-0.041,0.226,-0.305,0
1661434229356.281,0.921,-0.041,0.238,-0.307,0
1661434229362.917,0.917,-0.04,0.249,-0.308,0
1661434229370.861,0.914,-0.039,0.259,-0.31,0
1661434229386.172,0.911,-0.038,0.268,-0.311,0
1661434229393.803,0.909,-0.038,0.276,-0.311,0
1661434229408.168,0.907,-0.037,0.282,-0.312,0
1661434229415.4302,0.905,-0.037,0.287,-0.312,0
1661434229423.485,0.904,-0.036,0.29,-0.313,0
1661434229430.1082,0.903,-0.035,0.292,-0.313,0
1661434229460.73,0.903,-0.035,0.292,-0.313,0
